check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrsse_delta_2_beta_1_5_7,delta_2,beta_1_5_7,1,5,7,-6,7,1,12,7,1,6,12,20,-24,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_8_1_8,delta_3,beta_8_1_8,8,1,8,-2,3,8,1,11,8,-2,1,20,-56,556416,true,terminal_codomains_in_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_9_0_8,delta_3,beta_9_0_8,9,0,8,-2,3,9,0,11,9,-2,0,20,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_8_0_9,delta_1,beta_8_0_9,8,0,9,-2,3,11,0,9,11,2,0,20,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_8_1_8,delta_1,beta_8_1_8,8,1,8,-2,3,11,1,8,11,4,1,20,-56,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_5_1_7,delta_1,beta_5_1_7,5,1,7,-6,7,12,1,7,12,6,1,20,-24,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_1_8_7,delta_3,beta_1_8_7,1,8,7,-4,5,1,8,12,1,-3,8,21,-46,-141826,true,terminal_codomains_in_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_7_8,delta_2,beta_1_7_8,1,7,8,-4,5,1,12,8,1,5,12,21,-46,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_8_1_7,delta_3,beta_8_1_7,8,1,7,-4,5,8,1,12,8,-3,1,21,-46,-141826,true,terminal_codomains_in_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_7_1_8,delta_1,beta_7_1_8,7,1,8,-4,5,12,1,8,12,5,1,21,-46,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
