check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrsse_delta_1_beta_0_8_7,delta_1,beta_0_8_7,0,8,7,-30,31,31,8,7,31,32,8,46,64,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_7_1_9,delta_2,beta_7_1_9,7,1,9,-30,31,7,32,9,7,30,32,48,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_1_8,delta_2,beta_8_1_8,8,1,8,-30,31,8,32,8,8,32,32,48,0,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_7_9,delta_1,beta_1_7_9,1,7,9,-30,31,32,7,9,32,30,7,48,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_8_8,delta_1,beta_1_8_8,1,8,8,-30,31,32,8,8,32,32,8,48,0,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_0_8,delta_2,beta_8_0_8,8,0,8,-32,33,8,33,8,8,33,33,49,66,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_8_8,delta_1,beta_0_8_8,0,8,8,-32,33,33,8,8,33,33,8,49,66,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_7_1_10,delta_2,beta_7_1_10,7,1,10,-32,33,7,34,10,7,31,34,51,18,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_1_9,delta_2,beta_8_1_9,8,1,9,-32,33,8,34,9,8,33,34,51,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_7_10,delta_1,beta_1_7_10,1,7,10,-32,33,34,7,10,34,31,7,51,18,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_8_9,delta_1,beta_1_8_9,1,8,9,-32,33,34,8,9,34,33,8,51,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_0_9,delta_2,beta_8_0_9,8,0,9,-34,35,8,35,9,8,34,35,52,72,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_9_0_8,delta_2,beta_9_0_8,9,0,8,-34,35,9,35,8,9,36,35,52,72,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_8_9,delta_1,beta_0_8_9,0,8,9,-34,35,35,8,9,35,34,8,52,72,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_9_8,delta_1,beta_0_9_8,0,9,8,-34,35,35,9,8,35,36,9,52,72,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_1_10,delta_2,beta_8_1_10,8,1,10,-34,35,8,36,10,8,34,36,54,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_8_10,delta_1,beta_1_8_10,1,8,10,-34,35,36,8,10,36,34,8,54,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_9_0_9,delta_2,beta_9_0_9,9,0,9,-36,37,9,37,9,9,37,37,55,74,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_9_9,delta_1,beta_0_9_9,0,9,9,-36,37,37,9,9,37,37,9,55,74,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_1_11,delta_2,beta_8_1_11,8,1,11,-36,37,8,38,11,8,35,38,57,18,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_8_11,delta_1,beta_1_8_11,1,8,11,-36,37,38,8,11,38,35,8,57,18,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_9_0_10,delta_2,beta_9_0_10,9,0,10,-38,39,9,39,10,9,38,39,58,80,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_10_0_9,delta_2,beta_10_0_9,10,0,9,-38,39,10,39,9,10,40,39,58,80,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_9_10,delta_1,beta_0_9_10,0,9,10,-38,39,39,9,10,39,38,9,58,80,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_10_9,delta_1,beta_0_10_9,0,10,9,-38,39,39,10,9,39,40,10,58,80,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_1_12,delta_2,beta_8_1_12,8,1,12,-38,39,8,40,12,8,36,40,60,32,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_8_12,delta_1,beta_1_8_12,1,8,12,-38,39,40,8,12,40,36,8,60,32,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_10_0_10,delta_2,beta_10_0_10,10,0,10,-40,41,10,41,10,10,41,41,61,82,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_10_10,delta_1,beta_0_10_10,0,10,10,-40,41,41,10,10,41,41,10,61,82,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_11_0_10,delta_2,beta_11_0_10,11,0,10,-42,43,11,43,10,11,44,43,64,88,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_11_10,delta_1,beta_0_11_10,0,11,10,-42,43,43,11,10,43,44,11,64,88,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
